n_jobs=1	time=0.22843241691589355
n_jobs=2	time=0.12523384094238282
n_jobs=3	time=0.09767999649047851
n_jobs=4	time=0.08573660850524903
n_jobs=5	time=0.08049721717834472
n_jobs=6	time=0.08287625312805176
n_jobs=7	time=0.0806884765625
n_jobs=8	time=0.08558425903320313
n_jobs=9	time=0.08640012741088868
n_jobs=10	time=0.0898564338684082
n_jobs=11	time=0.09497613906860351
n_jobs=12	time=0.09946560859680176
n_jobs=13	time=0.10642681121826172
n_jobs=14	time=0.11469922065734864
n_jobs=15	time=0.11386957168579101
n_jobs=16	time=0.11868276596069335
